Speed,MovFlag,Peakrangenorm,Species,ID,Chan,Session,DrugFlag
14.70614975,btwn,0.366889367,F,KIW,ori,KIW_Block10-147_2016-01-18T10-21,A
9.768322798,btwn,0.262163522,F,KIW,ori,KIW_Block10-147_2016-01-18T10-21,A
3.019977619,imm,0.500133983,F,KIW,ori,KIW_Block10-147_2016-01-18T10-21,A
0.688477554,imm,0.39209652,F,KIW,ori,KIW_Block10-147_2016-01-18T10-21,A
0.554159558,imm,0.249176138,F,KIW,ori,KIW_Block10-147_2016-01-18T10-21,A
0.385267603,imm,0.535558755,F,KIW,ori,KIW_Block10-147_2016-01-18T10-21,A
0.215534773,imm,0.456272885,F,KIW,ori,KIW_Block10-147_2016-01-18T10-21,A
0.283146194,imm,0.401410514,F,KIW,ori,KIW_Block10-147_2016-01-18T10-21,A
0.232174938,imm,0.271483688,F,KIW,ori,KIW_Block10-147_2016-01-18T10-21,A
0.592369709,imm,0.357616461,F,KIW,ori,KIW_Block10-147_2016-01-18T10-21,A
0.318130722,imm,0.436094149,F,KIW,ori,KIW_Block10-147_2016-01-18T10-21,A
1.656428031,imm,0.15712795,F,KIW,ori,KIW_Block10-147_2016-01-18T10-21,A
0.733326388,imm,0.531924213,F,KIW,ori,KIW_Block10-147_2016-01-18T10-21,A
0.125866857,imm,0.392062891,F,KIW,ori,KIW_Block10-147_2016-01-18T10-21,A
0.669714944,imm,0.60209501,F,KIW,ori,KIW_Block10-147_2016-01-18T10-21,A
0.419755632,imm,0.316168154,F,KIW,ori,KIW_Block10-147_2016-01-18T10-21,A
0.35004626,imm,0.189630532,F,KIW,ori,KIW_Block10-147_2016-01-18T10-21,A
0.605338317,imm,0.380945042,F,KIW,ori,KIW_Block10-147_2016-01-18T10-21,A
0.756020628,imm,0.308988594,F,KIW,ori,KIW_Block10-147_2016-01-18T10-21,A
1.460813161,imm,0.108960864,F,KIW,ori,KIW_Block10-147_2016-01-18T10-21,A
1.516687704,imm,0.194943845,F,KIW,ori,KIW_Block10-147_2016-01-18T10-21,A
2.507735805,imm,0.110417839,F,KIW,ori,KIW_Block10-147_2016-01-18T10-21,A
2.817642093,imm,0.361871034,F,KIW,ori,KIW_Block10-147_2016-01-18T10-21,A
1.750995175,imm,0.231678601,F,KIW,ori,KIW_Block10-147_2016-01-18T10-21,A
3.598322276,imm,0.178913298,F,KIW,ori,KIW_Block10-147_2016-01-18T10-21,A
4.062340759,imm,0.261142208,F,KIW,ori,KIW_Block10-147_2016-01-18T10-21,A
1.2658566,imm,0.295125691,F,KIW,ori,KIW_Block10-147_2016-01-18T10-21,A
4.712001923,imm,0.314413689,F,KIW,ori,KIW_Block10-147_2016-01-18T10-21,A
3.092973207,imm,0.494077613,F,KIW,ori,KIW_Block10-147_2016-01-18T10-21,A
27.18472408,mov,0.333022655,F,KIW,ori,KIW_Block10-147_2016-01-18T10-21,A
13.08886028,btwn,0.505245531,F,KIW,ori,KIW_Block10-147_2016-01-18T10-21,A
2.150549867,imm,0.343237185,F,KIW,ori,KIW_Block10-147_2016-01-18T10-21,A
0.824314806,imm,0.665666503,F,KIW,ori,KIW_Block10-147_2016-01-18T10-21,A
0.578657062,imm,0.575151775,F,KIW,ori,KIW_Block10-147_2016-01-18T10-21,A
0.30246812,imm,0.456573329,F,KIW,ori,KIW_Block10-147_2016-01-18T10-21,A
2.870386534,imm,0.427581178,F,KIW,ori,KIW_Block10-147_2016-01-18T10-21,A
37.66372906,mov,0.348320286,F,KIW,ori,KIW_Block10-147_2016-01-18T10-21,A
16.93893026,btwn,0.680986259,F,KIW,ori,KIW_Block10-147_2016-01-18T10-21,A
22.55632678,mov,0.529201978,F,KIW,ori,KIW_Block10-147_2016-01-18T10-21,A
15.06665869,btwn,0.291023097,F,KIW,ori,KIW_Block10-147_2016-01-18T10-21,A
6.831322482,btwn,0.409167425,F,KIW,ori,KIW_Block10-147_2016-01-18T10-21,A
6.84657371,btwn,0.241859382,F,KIW,ori,KIW_Block10-147_2016-01-18T10-21,A
1.53917404,imm,0.242255379,F,KIW,ori,KIW_Block10-147_2016-01-18T10-21,A
22.97939291,mov,0.338521333,F,KIW,ori,KIW_Block10-147_2016-01-18T10-21,A
21.52629491,mov,0.652458783,F,KIW,ori,KIW_Block10-147_2016-01-18T10-21,A
6.77448644,btwn,0.421350676,F,KIW,ori,KIW_Block10-147_2016-01-18T10-21,A
15.44699233,btwn,0.55153248,F,KIW,ori,KIW_Block10-147_2016-01-18T10-21,A
8.533031619,btwn,0.412749524,F,KIW,ori,KIW_Block10-147_2016-01-18T10-21,A
2.653377352,imm,0.39899138,F,KIW,ori,KIW_Block10-147_2016-01-18T10-21,A
2.710631135,imm,0.458691709,F,KIW,ori,KIW_Block10-147_2016-01-18T10-21,A
1.893742601,imm,0.228423634,F,KIW,ori,KIW_Block10-147_2016-01-18T10-21,A
21.67772687,mov,0.563254633,F,KIW,ori,KIW_Block10-147_2016-01-18T10-21,A
29.19545449,mov,0.459855211,F,KIW,ori,KIW_Block10-147_2016-01-18T10-21,A
8.558042338,btwn,0.383613444,F,KIW,ori,KIW_Block10-147_2016-01-18T10-21,A
8.006975056,btwn,0.308512963,F,KIW,ori,KIW_Block10-147_2016-01-18T10-21,A
1.403597793,imm,0.308152753,F,KIW,ori,KIW_Block10-147_2016-01-18T10-21,A
0.283955447,imm,0.341307782,F,KIW,ori,KIW_Block10-147_2016-01-18T10-21,A
5.976549763,btwn,0.28020695,F,KIW,ori,KIW_Block10-147_2016-01-18T10-21,A
0.313383877,imm,0.250068395,F,KIW,ori,KIW_Block10-147_2016-01-18T10-21,A
4.979611912,imm,0.385072304,F,KIW,ori,KIW_Block10-147_2016-01-18T10-21,A
32.59994626,mov,0.310306466,F,KIW,ori,KIW_Block10-147_2016-01-18T10-21,A
28.06721632,mov,0.705921792,F,KIW,ori,KIW_Block10-147_2016-01-18T10-21,A
10.49023621,btwn,0.54408183,F,KIW,ori,KIW_Block10-147_2016-01-18T10-21,A
20.2801128,mov,0.745365592,F,KIW,ori,KIW_Block10-147_2016-01-18T10-21,A
6.179878673,btwn,0.471892828,F,KIW,ori,KIW_Block10-147_2016-01-18T10-21,A
4.61465062,imm,0.473911027,F,KIW,ori,KIW_Block10-147_2016-01-18T10-21,A
0.483815191,imm,0.380031905,F,KIW,ori,KIW_Block10-147_2016-01-18T10-21,A
2.311773143,imm,0.459059684,F,KIW,ori,KIW_Block10-147_2016-01-18T10-21,A
18.41346155,btwn,0.27407294,F,KIW,ori,KIW_Block10-147_2016-01-18T10-21,A
13.06535643,btwn,0.205614643,F,KIW,ori,KIW_Block10-147_2016-01-18T10-21,A
25.6028873,mov,0.722509846,F,KIW,ori,KIW_Block10-147_2016-01-18T10-21,A
19.17100109,btwn,0.326169384,F,KIW,ori,KIW_Block10-147_2016-01-18T10-21,A
6.756798423,btwn,0.619291771,F,KIW,ori,KIW_Block10-147_2016-01-18T10-21,A
1.800461267,imm,0.333486915,F,KIW,ori,KIW_Block10-147_2016-01-18T10-21,A
0.450324282,imm,0.561873465,F,KIW,ori,KIW_Block10-147_2016-01-18T10-21,A
1.852987083,imm,0.614932637,F,KIW,ori,KIW_Block10-147_2016-01-18T10-21,A
12.95189649,btwn,0.408722389,F,KIW,ori,KIW_Block10-147_2016-01-18T10-21,A
29.24706624,mov,0.486216637,F,KIW,ori,KIW_Block10-147_2016-01-18T10-21,A
16.85850871,btwn,0.525433035,F,KIW,ori,KIW_Block10-147_2016-01-18T10-21,A
9.731009866,btwn,0.510540803,F,KIW,ori,KIW_Block10-147_2016-01-18T10-21,A
33.44013026,mov,0.530782817,F,KIW,ori,KIW_Block10-147_2016-01-18T10-21,A
28.3144594,mov,0.400019454,F,KIW,ori,KIW_Block10-147_2016-01-18T10-21,A
8.032675223,btwn,0.259684938,F,KIW,ori,KIW_Block10-147_2016-01-18T10-21,A
8.192558523,btwn,0.474358067,F,KIW,ori,KIW_Block10-147_2016-01-18T10-21,A
0.859016002,imm,0.208176202,F,KIW,ori,KIW_Block10-147_2016-01-18T10-21,A
0.628378045,imm,0.36689225,F,KIW,ori,KIW_Block10-147_2016-01-18T10-21,A
0.610128417,imm,0.379056715,F,KIW,ori,KIW_Block10-147_2016-01-18T10-21,A
0.596334323,imm,0.314638168,F,KIW,ori,KIW_Block10-147_2016-01-18T10-21,A
1.184890387,imm,0.42093917,F,KIW,ori,KIW_Block10-147_2016-01-18T10-21,A
7.956008629,btwn,0.368652469,F,KIW,ori,KIW_Block10-147_2016-01-18T10-21,A
5.587917616,btwn,0.315546002,F,KIW,ori,KIW_Block10-147_2016-01-18T10-21,A
3.796133077,imm,0.351003244,F,KIW,ori,KIW_Block10-147_2016-01-18T10-21,A
1.85244544,imm,0.484835082,F,KIW,ori,KIW_Block10-147_2016-01-18T10-21,A
1.526653745,imm,0.224806822,F,KIW,ori,KIW_Block10-147_2016-01-18T10-21,A
3.429174592,imm,0.30508686,F,KIW,ori,KIW_Block10-147_2016-01-18T10-21,A
7.015547723,btwn,0.190015384,F,KIW,ori,KIW_Block10-147_2016-01-18T10-21,A
1.927055662,imm,0.509436978,F,KIW,ori,KIW_Block10-147_2016-01-18T10-21,A
0.834244647,imm,0.360306195,F,KIW,ori,KIW_Block10-147_2016-01-18T10-21,A
4.285107103,imm,0.198700052,F,KIW,ori,KIW_Block10-147_2016-01-18T10-21,A
1.137746368,imm,0.21030671,F,KIW,ori,KIW_Block10-147_2016-01-18T10-21,A
2.101744345,imm,0.206412318,F,KIW,ori,KIW_Block10-147_2016-01-18T10-21,A
1.338318831,imm,0.499392636,F,KIW,ori,KIW_Block10-147_2016-01-18T10-21,A
8.889559281,btwn,0.341831078,F,KIW,ori,KIW_Block10-147_2016-01-18T10-21,A
