Species,ID,Recside,Chan,Session,TaskType,Modality,TrialNum,NanIdx,RwdWinIdx,SNR,Duration,Difficulty,Correct,CorrectionTrial,Epoch,Peakrangenorm,Freq,Speed
R,DBLU,RHS,ori,2017-04-12_14-56-17,DUR,A,55,0,0,24.7287241054424,2,0,1,0,Hold,0.434543641638987,4,2.62153192657844
R,DBLU,RHS,ori,2017-04-12_14-56-17,DUR,A,55,0,0,24.7287241054424,2,0,1,0,Run,0.635239106424349,10.3,65.340143490063
R,DBLU,RHS,ori,2017-04-12_14-56-17,DUR,A,55,0,0,24.7287241054424,2,0,1,0,Rwd,NaN,4,0
R,DBLU,RHS,ori,2017-04-12_14-56-17,DUR,A,56,0,0,24.7287241054424,2,0,1,0,Hold,0.372101568832591,7.2,1.51207141079302
R,DBLU,RHS,ori,2017-04-12_14-56-17,DUR,A,56,0,0,24.7287241054424,2,0,1,0,Run,0.724650563330152,10.2,62.851836234032
R,DBLU,RHS,ori,2017-04-12_14-56-17,DUR,A,56,0,0,24.7287241054424,2,0,1,0,Rwd,NaN,4,0
R,DBLU,RHS,ori,2017-04-12_14-56-17,DUR,A,57,0,0,24.7287241054424,2,0,1,0,Hold,0.227243671525181,8.6,2.09316102888948
R,DBLU,RHS,ori,2017-04-12_14-56-17,DUR,A,57,0,0,24.7287241054424,2,0,1,0,Run,0.749128309440984,10.2,60.7923687286979
R,DBLU,RHS,ori,2017-04-12_14-56-17,DUR,A,57,0,0,24.7287241054424,2,0,1,0,Rwd,NaN,4,0
R,DBLU,RHS,ori,2017-04-12_14-56-17,DUR,A,58,0,1,24.7287241054424,2,0,1,0,Hold,0.322409053599604,8.1,2.9483050548784
R,DBLU,RHS,ori,2017-04-12_14-56-17,DUR,A,58,0,1,24.7287241054424,2,0,1,0,Run,0.633744190126345,10.2,58.4953448350538
R,DBLU,RHS,ori,2017-04-12_14-56-17,DUR,A,58,0,1,24.7287241054424,2,0,1,0,Rwd,0.171002952905805,7.9,2.57966288593557
R,DBLU,RHS,ori,2017-04-12_14-56-17,DUR,A,59,0,1,24.7287241054424,0.25,1,1,0,Hold,0.492758159526915,8.1,0.777191977898192
R,DBLU,RHS,ori,2017-04-12_14-56-17,DUR,A,59,0,1,24.7287241054424,0.25,1,1,0,Run,0.70421901479802,10.4,50.7268388902268
R,DBLU,RHS,ori,2017-04-12_14-56-17,DUR,A,59,0,1,24.7287241054424,0.25,1,1,0,Rwd,0.175434776637751,4.2,2.76660811784964
R,DBLU,RHS,ori,2017-04-12_14-56-17,DUR,A,60,0,0,24.7287241054424,0.25,1,1,0,Hold,0.297619899302749,8,1.22960728258947
R,DBLU,RHS,ori,2017-04-12_14-56-17,DUR,A,60,0,0,24.7287241054424,0.25,1,1,0,Run,0.538062460195128,11,66.2631385196348
R,DBLU,RHS,ori,2017-04-12_14-56-17,DUR,A,60,0,0,24.7287241054424,0.25,1,1,0,Rwd,NaN,4,0
R,DBLU,RHS,ori,2017-04-12_14-56-17,DUR,A,61,0,1,24.7287241054424,0.25,1,1,0,Hold,0.323337046893601,7.6,1.19544586959243
R,DBLU,RHS,ori,2017-04-12_14-56-17,DUR,A,61,0,1,24.7287241054424,0.25,1,1,0,Run,0.582392368427785,10.2,58.2326359664264
R,DBLU,RHS,ori,2017-04-12_14-56-17,DUR,A,61,0,1,24.7287241054424,0.25,1,1,0,Rwd,0.349812830516272,4.7,2.6193096200712
R,DBLU,RHS,ori,2017-04-12_14-56-17,DUR,A,62,0,0,24.7287241054424,0.25,1,1,0,Hold,0.457988963671757,7.7,1.94857050177053
R,DBLU,RHS,ori,2017-04-12_14-56-17,DUR,A,62,0,0,24.7287241054424,0.25,1,1,0,Run,0.744672591679634,10.4,48.4216125234072
R,DBLU,RHS,ori,2017-04-12_14-56-17,DUR,A,62,0,0,24.7287241054424,0.25,1,1,0,Rwd,NaN,4,0
R,DBLU,RHS,ori,2017-04-12_14-56-17,DUR,A,63,0,0,24.7287241054424,0.25,1,1,0,Hold,0.18559292081205,7.2,1.52586410952754
R,DBLU,RHS,ori,2017-04-12_14-56-17,DUR,A,63,0,0,24.7287241054424,0.25,1,1,0,Run,0.635939885662821,10.3,57.489345850663
R,DBLU,RHS,ori,2017-04-12_14-56-17,DUR,A,63,0,0,24.7287241054424,0.25,1,1,0,Rwd,NaN,4,0
R,DBLU,RHS,ori,2017-04-12_14-56-17,DUR,A,64,0,1,24.7287241054424,0.25,1,1,0,Hold,0.248273547144144,7.6,1.40684332485774
R,DBLU,RHS,ori,2017-04-12_14-56-17,DUR,A,64,0,1,24.7287241054424,0.25,1,1,0,Run,0.730805312793082,10.6,54.141672308279
R,DBLU,RHS,ori,2017-04-12_14-56-17,DUR,A,64,0,1,24.7287241054424,0.25,1,1,0,Rwd,0.181360168320243,9,2.09235531980567
R,DBLU,RHS,ori,2017-04-12_14-56-17,DUR,A,65,0,1,24.7287241054424,0.25,1,1,0,Hold,0.476667890122724,7.8,2.08529510608957
R,DBLU,RHS,ori,2017-04-12_14-56-17,DUR,A,65,0,1,24.7287241054424,0.25,1,1,0,Run,0.661226380960411,10.2,51.4271656705024
R,DBLU,RHS,ori,2017-04-12_14-56-17,DUR,A,65,0,1,24.7287241054424,0.25,1,1,0,Rwd,0.293283409577764,7.4,2.26047592267015
R,DBLU,RHS,ori,2017-04-12_14-56-17,DUR,A,66,1,0,24.7287241054424,0.25,1,0,0,Hold,0.262959879960069,7.6,2.35694119711937
R,DBLU,RHS,ori,2017-04-12_14-56-17,DUR,A,66,1,0,24.7287241054424,0.25,1,0,0,Run,NaN,4,0
R,DBLU,RHS,ori,2017-04-12_14-56-17,DUR,A,66,1,0,24.7287241054424,0.25,1,0,0,Rwd,NaN,4,0
R,DBLU,RHS,ori,2017-04-12_14-56-17,DUR,A,67,0,0,24.7287241054424,0.25,1,1,0,Hold,0.528379200186433,8,1.13306536534905
R,DBLU,RHS,ori,2017-04-12_14-56-17,DUR,A,67,0,0,24.7287241054424,0.25,1,1,0,Run,0.256134279345512,10.5,53.833621498498
R,DBLU,RHS,ori,2017-04-12_14-56-17,DUR,A,67,0,0,24.7287241054424,0.25,1,1,0,Rwd,NaN,4,0
R,DBLU,RHS,ori,2017-04-12_14-56-17,DUR,A,68,0,0,24.7287241054424,0.25,1,1,0,Hold,0.49181864610428,8.2,3.06680902918077
R,DBLU,RHS,ori,2017-04-12_14-56-17,DUR,A,68,0,0,24.7287241054424,0.25,1,1,0,Run,0.632961580037045,10,54.2727391411683
R,DBLU,RHS,ori,2017-04-12_14-56-17,DUR,A,68,0,0,24.7287241054424,0.25,1,1,0,Rwd,NaN,4,0
